100.0
1	1	151.99	216	0 79 90 224 242 0
1	2	245.31	204	0 121 190 135 166 0
1	3	280.97	331	0 3 89 118 163 82 0
1	4	127.98	166	0 11 18 191 0
1	5	194.99	277	0 42 113 57 8 0
1	6	183.82	97	0 238 217 133 0
1	7	213.84	114	0 248 27 30 230 0
1	8	235.73	145	0 33 125 84 0
1	9	185.08	77	0 167 72 0
1	10	48.27	53	0 9 0
1	11	205.08	64	0 229 12 0
1	12	266.13	212	0 52 114 195 150 241 0
1	13	85.35	144	0 193 58 153 0
1	14	176.4	152	0 24 225 0
1	15	256.44	212	0 221 220 62 0
1	16	177.54	156	0 83 36 31 0
1	17	244.33	252	0 226 10 75 102 223 0
1	18	241.86	221	0 201 176 219 2 0
1	19	244.92	167	0 59 148 112 0
1	20	125.11	96	0 206 69 0
1	21	266.43	54	0 71 249 0
1	22	227.2	94	0 124 214 47 80 0
1	23	222.97	127	0 204 43 66 96 0
1	24	185.07	107	0 205 54 0
1	25	141.63	117	0 175 146 0
1	26	183.75	115	0 53 38 0
1	27	193.1	125	0 19 101 122 0
1	28	80.28	44	0 61 0
1	29	240.66	211	0 103 39 65 0
1	30	128.65	34	0 26 5 0
1	31	225.34	59	0 127 237 0
1	32	247.66	212	0 162 17 15 203 0
1	33	145.79	6	0 1 0
1	34	239.02	84	0 55 49 0
1	35	267.96	100	0 213 211 16 235 0
1	36	218.44	194	0 13 170 228 106 0
1	37	243.42	327	0 177 64 185 157 73 0
1	38	171.01	147	0 136 56 147 0
1	39	241.48	209	0 198 131 233 207 0
1	40	138.72	93	0 40 32 0
1	41	80.81	17	0 130 0
1	42	226.69	89	0 78 197 123 0
1	43	74.43	19	0 194 0
1	44	251.07	225	0 129 183 189 173 0
1	45	203.86	125	0 168 137 0
2	1	224.21	306	0 95 156 105 104 208 0
2	2	172.12	193	0 109 132 240 0
2	3	235.67	271	0 172 100 7 216 92 0
2	4	204.0	90	0 4 165 179 0
2	5	260.74	104	0 87 77 184 236 0
2	6	227.31	74	0 81 50 188 0
2	7	242.52	288	0 187 107 28 215 141 0
2	8	247.26	228	0 138 48 243 0
2	9	119.02	75	0 222 164 0
2	10	112.38	50	0 134 0
2	11	266.83	147	0 182 20 161 0
2	12	207.71	109	0 85 218 14 0
2	13	250.35	197	0 181 91 200 23 45 0
2	14	248.39	119	0 244 199 119 0
2	15	138.29	160	0 212 37 0
2	16	229.92	54	0 234 94 0
2	17	172.27	104	0 209 63 0
2	18	194.45	138	0 227 160 0
2	19	200.5	141	0 67 180 0
2	20	66.75	58	0 171 0
2	21	264.81	159	0 202 140 44 0
2	22	225.67	153	0 60 22 88 0
2	23	247.39	127	0 6 41 152 143 0
2	24	142.63	106	0 154 35 0
2	25	98.86	65	0 155 0
2	26	167.44	131	0 178 111 116 0
2	27	159.38	130	0 98 159 0
2	28	202.43	272	0 192 196 158 210 0
2	29	92.96	15	0 70 0
2	30	204.05	141	0 117 21 0
2	31	247.08	115	0 108 68 120 0
2	32	199.44	185	0 151 246 186 0
2	33	195.29	92	0 149 74 0
2	34	207.85	162	0 34 174 169 0
2	35	290.18	276	0 86 99 115 25 0
2	36	123.42	10	0 126 29 0
2	37	240.01	109	0 232 128 0
2	38	130.96	211	0 145 142 139 0
2	39	79.2	71	0 97 0
2	40	169.97	14	0 76 144 0
2	41	208.02	142	0 110 245 0
2	42	254.47	46	0 231 46 0
2	43	80.43	64	0 247 0
2	44	243.96	110	0 51 239 0
2	45	36.25	4	0 93 0
